ranking,commercial_stage,outreach_status,prioridade_abordagem,score_fornecedor,opportunity_score,verification_score,commercial_fit_score,priority_score,motivos_score,cnpj,razao_social,nome_fantasia,sede_municipio,sede_uf,sul_priority,cnae,situacao_cadastral,porte_cadastral,qtd_contratos_candidatos,orgaos_contratantes,valor_total_portfolio_analisado,melhor_contrato_id,melhor_orgao,melhor_classificacao,melhor_commercial_stage,sinais_favoraveis,incertezas,documentos_faltantes,argumento_comercial,abordagem_permitida,linguagem_proibida,mensagem_abordagem,proxima_acao,riscos,email,telefone,site,contato_verificavel,document_request_ready
1,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,76.94,100.0,17.5,95.0,76.94,sede_ou_execucao_sul | interregno_conservador_gt_12m | multi_contratos=4 | regime_14133_provavel_ou_comprovado,10249046000100,CONSTRUCOES SCHOROEDER EIRELI    -,,BIGUACU,SC,True,,,,4,DEPARTAMENTO DE OBRAS | SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA | Secretaria Municipal de Planejamento,260564221.31000003,04892707000100-2-000445/2023,SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.84 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.84) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado | maturidade_temporal_insuficiente,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4830661853,,True,True
2,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,73.25,98.5,17.5,82.9,73.25,sede_ou_execucao_sul | interregno_conservador_gt_12m | multi_contratos=14 | regime_14133_provavel_ou_comprovado,02955426000124,NEOVIA INFRAESTRUTURA RODOVIARIA LTDA,,CURITIBA,PR,True,,,,14,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA | SUP. REG. DO DNIT NO ESTADO DO PARANA | Secretaria de Estado da Infraestrutura e Mobilidade,775936923.83,04892707000100-2-000142/2024,SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.94 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.94) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4130759000,,True,True
3,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,73.2,98.5,17.5,82.9,73.2,sede_ou_execucao_sul | interregno_conservador_gt_12m | multi_contratos=8 | regime_14133_provavel_ou_comprovado,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,,CURITIBA,PR,True,,,,8,DER - Departamento de Estradas de Rodagem do Estado do Paraná | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DO PARANA | UNIDADE ADMINISTRATIVA,1070403707.4800001,04892707000100-2-000003/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4130253333,,True,True
4,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,71.38,97.0,17.5,65.8,71.38,sede_ou_execucao_sul | interregno_conservador_gt_12m | regime_14133_provavel_ou_comprovado,07928501000181,CAMARGO E CAMARGO CONSTRUÇOES E SERVIÇOS LTDA,,CURITIBA,PR,True,,,,1,DEPARTAMENTO DE ARQUITETURA E ENGENHARIA,170597772.0,76105576000185-2-000036/2024,DEPARTAMENTO DE ARQUITETURA E ENGENHARIA,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.88 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como edificacoes (conf=0.88) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4132051394,,True,True
5,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,70.04,95.0,17.5,78.0,70.04,sede_ou_execucao_sul | interregno_conservador_gt_12m | multi_contratos=3 | regime_14133_provavel_ou_comprovado,92943398000118,CONSTRUTORA CIDADE LIMITADA,,PORTO ALEGRE,RS,True,,,,3,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,297989826.15000004,04892707000100-2-000192/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pontes_estruturas (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,5133886465,,True,True
6,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,69.88,95.0,17.5,63.0,69.88,sede_ou_execucao_sul | interregno_conservador_gt_12m | regime_14133_provavel_ou_comprovado,57437373000141,CONSORCIO PALMEIRA,,CURITIBA,PR,True,,,,1,DER - Departamento de Estradas de Rodagem do Estado do Paraná,257215008.0,76669324000189-2-000083/2024,DER - Departamento de Estradas de Rodagem do Estado do Paraná,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4103253333,,True,True
7,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,69.88,95.0,17.5,63.0,69.88,sede_ou_execucao_sul | interregno_conservador_gt_12m | regime_14133_provavel_ou_comprovado,58220887000103,CONSORCIO DALBA - CLC,,GUARAPUAVA,PR,True,,,,1,DER - Departamento de Estradas de Rodagem do Estado do Paraná,293750016.0,76669324000189-2-000092/2024,DER - Departamento de Estradas de Rodagem do Estado do Paraná,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4230359550,,True,True
8,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,69.88,95.0,17.5,63.0,69.88,sede_ou_execucao_sul | interregno_conservador_gt_12m | regime_14133_provavel_ou_comprovado,79096020000168,ENGERAMA ENGENHARIA E EMPREENDIMENTOS LTDA,,CAMPO LARGO,PR,True,,,,1,PREFEITURA MUNICIPAL DE SAO JOSE DOS PINHAIS,154990000.0,76105543000135-2-000098/2024,PREFEITURA MUNICIPAL DE SAO JOSE DOS PINHAIS,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_engenharia_geral (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,413922011,,True,True
9,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,69.13,94.0,17.5,61.6,69.13,sede_ou_execucao_sul | interregno_conservador_gt_12m | regime_14133_provavel_ou_comprovado,55018852000106,CONSORCIO SANCHES TRIPOLONI - CONSOL - CLEVELANDIA - PATO BRANCO,,MARINGA,PR,True,,,,1,DER - Departamento de Estradas de Rodagem do Estado do Paraná,180950000.0,76669324000189-2-000035/2024,DER - Departamento de Estradas de Rodagem do Estado do Paraná,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_engenharia_geral (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,4421015959,,True,True
10,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,66.35,90.0,17.5,71.0,66.35,sede_ou_execucao_sul | interregno_conservador_gt_12m | multi_contratos=3 | regime_14133_provavel_ou_comprovado,03928516000199,VERDI SISTEMAS CONSTRUTIVOS LTDA,,PORTO ALEGRE,RS,True,,,,3,BRIGADA MILITAR - DEPARTAMENTO DE LOGÍSTICA E PATRIMÔNIO | SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,532624021.82,17176399000169-2-000036/2024,SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,5135401025,,True,True
11,DIAGNOSTIC_OUTREACH_READY,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,65.62,100.0,17.5,70.0,65.62,interregno_conservador_gt_12m | multi_contratos=13 | regime_14133_provavel_ou_comprovado,00472805000138,TRACADO CONSTRUCOES E SERVICOS LTDA,,SAO PAULO,SP,False,,,,13,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM | DEPARTAMENTO DE OBRAS E SERVIÇOS | Executivo Administração Direta | MUNICÍPIO DE CRUZALTENSE | MUNICÍPIO DE PASSO FUNDO | Municipio de Alpestre | OBRAS E SERVICOS PUBLICOS | PM Jacutinga | PREFEITURA MUNICIPAL DE CONGONHINHAS - PR | PREFEITURA MUNICIPAL DE ERECHIM | Prefeitura Municipal de Quatro Irmãos,469024271.44,92883834000100-2-000004/2025,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,LEGAL_REGIME_UNKNOWN,DIAGNOSTIC_OUTREACH_READY,obra_classificada_conf=1.00 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=1.00) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.","Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,"Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,5421071000,,True,True
